id,name,platform,license
12,open-access,mixed,oa
37,jstor-dda,jstor,dda
38,jstor-eba,jstor,eba
50,ebsco-purchased,ebsco,purchased
68,ebsco-sub,ebsco,subscription
71,proquest-sub,proquest,subscription
